"","OCCSOC","Soc_last1","Soc_last2","Soc_last3"
"443","51-4020","51-4020","51-4000","51-4000"
"444","47-50YY","47-50Y0","47-5000","47-5000"
"445","15-1221","15-1220","15-1200","15-1000"
"446","51-6093","51-6090","51-6000","51-6000"
"447","19-1030","19-1030","19-1000","19-1000"
"448","49-2091","49-2090","49-2000","49-2000"
"449","33-2020","33-2020","33-2000","33-2000"
"450","51-9151","51-9150","51-9100","51-9000"
"451","53-7070","53-7070","53-7000","53-7000"
"452","51-6021","51-6020","51-6000","51-6000"
"453","33-3011","33-3010","33-3000","33-3000"
"454","49-9094","49-9090","49-9000","49-9000"
"455","43-2021","43-2020","43-2000","43-2000"
"456","27-3011","27-3010","27-3000","27-3000"
"457","43-5011","43-5010","43-5000","43-5000"
"458","51-2041","51-2040","51-2000","51-2000"
"459","27-3099","27-3090","27-3000","27-3000"
"460","39-509X","39-5090","39-5000","39-5000"
"461","49-9010","49-9010","49-9000","49-9000"
"462","23-1012","23-1010","23-1000","23-1000"
"463","51-7041","51-7040","51-7000","51-7000"
"464","51-9195","51-9190","51-9100","51-9000"
"465","49-2092","49-2090","49-2000","49-2000"
"466","47-4041","47-4040","47-4000","47-4000"
"467","51-9041","51-9040","51-9000","51-9000"
"468","47-2161","47-2160","47-2100","47-2000"
"469","27-2023","27-2020","27-2000","27-2000"
"470","49-9043","49-9040","49-9000","49-9000"
"471","19-3033","19-3030","19-3000","19-3000"
"472","21-1015","21-1010","21-1000","21-1000"
"473","49-9098","49-9090","49-9000","49-9000"
"474","17-20XX","17-20X0","17-2000","17-2000"
"475","19-40XX","19-40X0","19-4000","19-4000"
"476","13-2061","13-2060","13-2000","13-2000"
"477","53-70XX","53-70X0","53-7000","53-7000"
"478","51-9196","51-9190","51-9100","51-9000"
"479","51-6060","51-6060","51-6000","51-6000"
"480","53-40XX","53-40X0","53-4000","53-4000"
"481","11-3111","11-3110","11-3100","11-3000"
"482","51-5111","51-5110","51-5100","51-5000"
"483","29-1291","29-1290","29-1200","29-1000"
"484","51-4050","51-4050","51-4000","51-4000"
"485","27-2030","27-2030","27-2000","27-2000"
"486","49-3022","49-3020","49-3000","49-3000"
"487","37-301X","37-3010","37-3000","37-3000"
"488","43-5041","43-5040","43-5000","43-5000"
"489","29-1181","29-1180","29-1100","29-1000"
"490","19-2010","19-2010","19-2000","19-2000"
"491","43-2011","43-2010","43-2000","43-2000"
"492","33-30XX","33-30X0","33-3000","33-3000"
"493","45-4011","45-4010","45-4000","45-4000"
"494","39-40XX","39-40X0","39-4000","39-4000"
"495","51-7042","51-7040","51-7000","51-7000"
"496","47-2231","47-2230","47-2200","47-2000"
"497","51-609X","51-6090","51-6000","51-6000"
"498","35-9099","35-9090","35-9000","35-9000"
"499","11-9161","11-9160","11-9100","11-9000"
"500","29-1125","29-1120","29-1100","29-1000"
"501","47-5032","47-5030","47-5000","47-5000"
"502","27-1021","27-1020","27-1000","27-1000"
"503","47-2011","47-2010","47-2000","47-2000"
"504","27-2091","27-2090","27-2000","27-2000"
"505","29-1124","29-1120","29-1100","29-1000"
"506","17-2121","17-2120","17-2100","17-2000"
"507","51-9197","51-9190","51-9100","51-9000"
"508","19-2021","19-2020","19-2000","19-2000"
"509","43-2099","43-2090","43-2000","43-2000"
"510","51-5113","51-5110","51-5100","51-5000"
"511","51-2031","51-2030","51-2000","51-2000"
"512","43-4141","43-4140","43-4100","43-4000"
"513","51-3091","51-3090","51-3000","51-3000"
"514","29-1081","29-1080","29-1000","29-1000"
"515","45-2011","45-2010","45-2000","45-2000"
"516","51-7021","51-7020","51-7000","51-7000"
"517","49-9096","49-9090","49-9000","49-9000"
"518","51-6040","51-6040","51-6000","51-6000"
"519","51-9051","51-9050","51-9000","51-9000"
"520","29-1299","29-1290","29-1200","29-1000"
"521","51-403X","51-4030","51-4000","51-4000"
"522","51-9191","51-9190","51-9100","51-9000"
"523","51-3093","51-3090","51-3000","51-3000"
"524","43-9081","43-9080","43-9000","43-9000"
"525","13-1021","13-1020","13-1000","13-1000"
"526","33-9011","33-9010","33-9000","33-9000"
"527","53-3011","53-3010","53-3000","53-3000"
"528","51-9194","51-9190","51-9100","51-9000"
"529","47-4061","47-4060","47-4000","47-4000"
