"","SocCode","n","SOC Broad Occupation","SOC Minor Occupation","OCCSOC","ACS_occupation"
"350","51-9071",533,"51-9070","51-9000","51-9071","51-9071"
"351","51-9111",533,"51-9110","51-9000","51-9111","51-9111"
"352","51-9151",533,"51-9150","51-9000","51-9151","51-9151"
"353","51-9191",533,"51-9190","51-9000","51-9191","51-9191"
"354","51-9194",533,"51-9190","51-9000","51-9194","51-9194"
"355","51-9195",533,"51-9190","51-9000","51-9195","51-9195"
"356","51-9196",533,"51-9190","51-9000","51-9196","51-9196"
"357","51-9197",533,"51-9190","51-9000","51-9197","51-9197"
"358","51-9198",533,"51-9190","51-9000","51-9198","51-9198"
"359","53-2031",533,"53-2030","53-2000","53-2031","53-2031"
"360","53-3011",533,"53-3010","53-3000","53-3011","53-3011"
"361","53-3051",533,"53-3050","53-3000","53-3051","53-3051"
"362","53-3052",533,"53-3050","53-3000","53-3052","53-3052"
"363","53-3053",533,"53-3050","53-3000","53-3053","53-3053"
"364","53-3054",533,"53-3050","53-3000","53-3054","53-3054"
"365","53-3099",533,"53-3090","53-3000","53-3099","53-3099"
"366","53-4031",533,"53-4030","53-4000","53-4031","53-4031"
"367","53-6021",533,"53-6020","53-6000","53-6021","53-6021"
"368","53-6051",533,"53-6050","53-6000","53-6051","53-6051"
"369","53-6061",533,"53-6060","53-6000","53-6061","53-6061"
"370","53-7021",533,"53-7020","53-7000","53-7021","53-7021"
"371","53-7051",533,"53-7050","53-7000","53-7051","53-7051"
"372","53-7061",533,"53-7060","53-7000","53-7061","53-7061"
"373","53-7062",533,"53-7060","53-7000","53-7062","53-7062"
"374","53-7063",533,"53-7060","53-7000","53-7063","53-7063"
"375","53-7064",533,"53-7060","53-7000","53-7064","53-7064"
"376","53-7065",533,"53-7060","53-7000","53-7065","53-7065"
"377","53-7081",533,"53-7080","53-7000","53-7081","53-7081"
"378","15-1241",533,"15-1240","15-1000","15-124X","15-124X"
"379","15-1242",533,"15-1240","15-1000","15-124X","15-124X"
"380","15-1243",533,"15-1240","15-1000","15-124X","15-124X"
"381","15-1244",533,"15-1240","15-1000","15-124X","15-124X"
"382","17-3011",533,"17-3010","17-3000","17-301X","17-301X"
"383","17-3012",533,"17-3010","17-3000","17-301X","17-301X"
"384","17-3013",533,"17-3010","17-3000","17-301X","17-301X"
"385","17-3019",533,"17-3010","17-3000","17-301X","17-301X"
"386","17-3021",533,"17-3020","17-3000","17-302X","17-302X"
"387","17-3022",533,"17-3020","17-3000","17-302X","17-302X"
"388","17-3023",533,"17-3020","17-3000","17-302X","17-302X"
"389","17-3024",533,"17-3020","17-3000","17-302X","17-302X"
"390","17-3025",533,"17-3020","17-3000","17-302X","17-302X"
"391","17-3026",533,"17-3020","17-3000","17-302X","17-302X"
"392","17-3027",533,"17-3020","17-3000","17-302X","17-302X"
"393","17-3028",533,"17-3020","17-3000","17-302X","17-302X"
"394","17-3029",533,"17-3020","17-3000","17-302X","17-302X"
"395","19-2041",533,"19-2040","19-2000","19-204X","19-204X"
"396","19-2042",533,"19-2040","19-2000","19-204X","19-204X"
"397","19-2043",533,"19-2040","19-2000","19-204X","19-204X"
"398","19-3032",533,"19-3030","19-3000","19-303X","19-303X"
"399","19-3033",533,"19-3030","19-3000","19-303X","19-303X"
"400","19-3034",533,"19-3030","19-3000","19-303X","19-303X"
"401","19-3039",533,"19-3030","19-3000","19-303X","19-303X"
"402","21-1091",533,"21-1090","21-1000","21-109X","21-109X"
"403","21-1092",533,"21-1090","21-1000","21-109X","21-109X"
"404","21-1093",533,"21-1090","21-1000","21-109X","21-109X"
"405","21-1094",533,"21-1090","21-1000","21-109X","21-109X"
"406","21-1099",533,"21-1090","21-1000","21-109X","21-109X"
"407","27-1021",533,"27-1020","27-1000","27-102X","27-102X"
